"","research","marketing","morale","sales"
"377",5423,8588,7.23,1770088
"378",5566,8603,7.11,1775752
"379",5476,8641,7.25,1793229
"380",5397,8702,7.58,1817464
"381",5496,8924,7.39,1912162
"382",5469,8953,7.42,1925634
"383",5351,9211,7.83,2035100
"384",5212,9253,7.53,2056933
"385",5193,9176,7.2,2025864
"386",5262,9062,7.64,1974543
"387",5118,9201,7.13,2030426
"388",5112,9454,7.55,2143922
"389",5213,9411,7.45,2124896
"390",5226,9300,7.58,2075067
"391",5202,9197,7.82,2028875
"392",5245,9096,7.81,1983752
"393",5265,9041,7.6,1963141
"394",5002,8799,7.7,1857282
"395",4834,8702,7.8,1819222
"396",4839,8887,7.3,1895195
"397",4714,9186,7.94,2026550
"398",4759,9499,7.59,2164343
"399",4761,9416,7.45,2128452
"400",4958,9404,7.44,2123498
"401",5137,9539,7.17,2183953
"402",5125,9617,7.65,2218355
"403",5316,9594,7.58,2209359
"404",5507,9542,7.87,2185957
"405",5465,9648,7.45,2230705
"406",5429,9797,7.51,2306197
"407",5380,9767,7.49,2285890
"408",5212,9490,7.85,2162548
"409",5207,9385,8.03,2111004
"410",5327,9361,7.88,2104292
"411",5348,9298,7.9,2073511
"412",5301,9263,7.93,2056075
"413",5197,9420,7.83,2132801
"414",5179,9407,8.13,2122089
"415",5085,9488,7.64,2157487
"416",4750,9543,7.38,2187976
"417",4746,9502,7.82,2170331
"418",4820,9341,7.61,2095734
"419",4803,9329,8.21,2085939
"420",4974,9275,7.46,2062198
"421",5048,9278,7.71,2066254
"422",5087,9374,7.8,2107871
"423",5205,9568,7.9,2194282
"424",5354,9612,7.79,2214672
"425",5366,9455,8.2,2144427
"426",5201,9484,7.77,2162315
"427",5083,9467,7.98,2150463
"428",5176,9456,8.13,2142523
"429",5177,9436,7.43,2135981
"430",5005,9422,8.07,2130049
"431",4932,9448,7.84,2140133
"432",4984,9474,7.45,2152400
"433",5033,9589,7.94,2206606
"434",5091,9802,7.85,2300093
"435",5226,9768,7.9,2291466
"436",5234,9741,8.02,2276836
"437",5329,9839,8.33,2322123
"438",5443,9978,7.97,2385211
"439",5442,9878,7.99,2339773
"440",5438,9951,8.18,2377371
"441",5483,10006,8.19,2402399
"442",5364,9845,8.02,2330549
"443",5357,9777,8.03,2294762
"444",5436,9669,8.08,2243599
"445",5430,9618,8.05,2219773
"446",5272,9835,7.95,2318637
"447",5230,9920,8.07,2358341
"448",5313,10038,7.9,2414071
"449",5419,10097,7.93,2447516
"450",5748,10250,8.6,2523026
"451",5824,10565,8.51,2676183
"452",5687,10599,8.04,2696377
"453",5632,10436,7.81,2611302
"454",5626,10163,8.01,2481989
"455",5636,10118,7.98,2457320
"456",5623,10162,8.54,2479790
"457",5646,10310,8.22,2552620
"458",5730,10268,8.11,2526291
"459",5620,9992,8.3,2399566
"460",5558,9682,8.11,2246999
"461",5507,9465,8.61,2148706
"462",5390,9340,8.4,2099268
"463",5239,9493,8.13,2165909
"464",5287,9682,8.51,2247213
"465",5388,9679,8.55,2246690
"466",5498,9790,8.11,2297757
"467",5526,9788,8.27,2300069
"468",5638,9734,8.43,2273894
"469",5571,9885,8.36,2346868
"470",5496,10004,8.34,2401616
"471",5369,10102,8.29,2450759
"472",5258,10029,8.1,2415623
"473",5259,9904,8.34,2356519
"474",5363,9867,8.31,2337922
"475",5387,9923,8.17,2362333
"476",5405,10158,8.46,2476458
"477",5441,10357,8.78,2579737
"478",5491,10382,8.56,2593224
"479",5540,10353,8.3,2572262
"480",5498,10289,8.79,2538984
"481",5362,10383,8.18,2586203
"482",5409,10447,8.2,2621202
"483",5348,10417,8.21,2602631
"484",5301,10331,8.61,2562429
"485",5304,10298,7.94,2546087
"486",5372,10249,8.69,2521147
"487",5495,10124,8.95,2463033
"488",5753,10124,8.42,2459761
"489",5937,10170,8.91,2481575
"490",5992,10291,8.41,2542391
"491",5998,10330,8.47,2562288
"492",6116,10371,8.5,2581976
"493",6016,10439,9,2609900
"494",5848,10612,8.32,2700191
"495",5644,10721,8.56,2758278
"496",5670,10652,8.88,2721698
"497",5843,10708,8.44,2752782
"498",5671,10797,8.55,2798106
"499",5539,10753,8.78,2779214
"500",5457,10783,8.67,2789974
