"","research","marketing","morale","sales"
"169",30828421,40725284,5.4,147217580
"170",32212875,40382755,5.17,136829702
"171",32247983,41287780,5.33,143390871
"172",32721049,42636064,5.16,138149642
"173",33135663,44501983,5.29,153335468
"174",32049712,46024215,5.01,146528755
"175",31230601,45670769,5.41,148370403
"176",31469147,47153191,4.79,149191191
"177",32263838,48936046,5.44,160997150
"178",33680208,49128463,5.28,159783955
"179",35677931,51547328,5.33,171082514
"180",36616930,53481358,4.67,171140052
"181",35950328,53966606,5.01,191036611
"182",36063423,54480309,5.53,180658195
"183",34687423,54106615,5.25,181401771
"184",33762727,53694427,5.09,179947334
"185",33892893,54540547,5,172512852
"186",33923190,56219206,5.55,185579851
"187",35238981,55819253,5.29,195141727
"188",35606421,53608019,5.08,180025419
"189",36069140,52935450,5.48,186239035
"190",36314553,54290605,5.16,187237585
"191",36478206,53489379,5.2,185841586
"192",36437686,51089149,5.62,170924659
"193",36079779,49687976,5.45,158535255
"194",34374291,48582901,5.41,187279846
"195",34799718,48233763,5.44,168856447
"196",34894750,48499551,5.72,168619903
"197",35721046,47858313,5.58,159170146
"198",34910083,46845712,5.43,151081713
"199",33841779,46827716,5.43,150826072
"200",32826172,47528151,5.25,152147997
"201",32197449,48312232,5.76,156548788
"202",31577079,47912156,5.66,138608410
"203",29907481,47645549,5.56,153506661
"204",30191887,50054709,5.4,168648939
"205",31730559,53015299,5.25,163744385
"206",31820409,53506333,5.76,173100543
"207",30445468,53955769,5.56,167514543
"208",29263579,53220490,5.36,156194440
"209",29353612,53134727,5.51,175750018
"210",30600420,54247066,5.51,184747562
"211",32137778,54896369,5.42,166500276
"212",31385927,54956046,5.49,190563952
"213",31314299,53821879,5.64,172849954
"214",31666883,53643917,5.83,197815879
"215",31649848,55696132,5.09,185737208
"216",30922364,58397178,5.77,173075242
"217",29897623,61008671,5.61,208800269
"218",30593857,60760681,5.97,193018584
"219",30760551,58809892,5.7,175900338
"220",30141775,59168003,5.71,176279079
"221",28345669,59761854,5.68,175576401
"222",27428688,60547354,5.3,186730020
"223",26539695,61498493,5.57,173217862
"224",26542426,62221857,5.6,180221486
"225",28166912,61318823,5.97,173500277
"226",30733068,60062670,5.89,180735203
"227",30070912,60381357,5.33,183920063
"228",28481162,60880063,5.83,187380131
"229",28185131,61200812,5.88,185774936
"230",28861244,59722835,5.46,183105130
"231",28509704,59718260,5.7,187972496
"232",28487064,59350232,6.1,176150044
"233",28428977,59233919,5.71,191038165
"234",30774014,58798682,5.74,168949898
"235",32495847,57860585,6.08,175256088
"236",33755344,58350298,5.5,167587503
"237",33572341,57882004,5.8,181675265
"238",33308141,57711645,6.07,165608011
"239",34781375,58392929,5.85,199688283
"240",36611856,58139435,5.72,195562572
"241",37464864,58760115,5.74,184627201
"242",38708158,59501844,6.11,180757677
"243",39443196,60566099,6.05,185650370
"244",39049113,60387855,6.05,186617065
"245",38772579,61616489,6.05,208690563
"246",36730932,62119610,6.29,188117539
"247",34135414,62557291,6.06,186872718
"248",33912803,63730630,6.2,206406090
"249",34596615,63462615,5.62,215348620
"250",33968735,62611423,5.96,217449264
"251",33602293,63707654,5.6,184815886
"252",34060158,64741044,5.91,192626114
"253",35648898,65654952,6.02,211578042
"254",35953478,65056983,6.15,216451357
"255",38189351,64436809,6.05,204586640
"256",39122594,64744296,5.97,207379936
"257",39500643,62243033,6.34,205601413
"258",39051403,62305661,6.5,189826843
"259",40334755,63344229,5.99,218850073
"260",41810355,64935794,6.13,206745759
"261",39372693,66378326,6.4,194924184
"262",38535470,67554633,6.3,208400708
"263",38403469,67395873,6.13,208530071
"264",38330951,66974739,6.42,213069517
"265",38032296,66132349,6.03,210840700
"266",38703121,64641020,5.67,219224046
"267",41076070,64603410,6.36,200005038
"268",41176398,63991829,6.27,216057596
"269",40925327,62247625,6.38,198308823
"270",40714832,60788677,6.34,218997744
"271",40270229,61291090,6.31,209398255
"272",38767971,61556315,6.3,213065804
"273",37872722,61789979,6.28,209708264
"274",38826309,61738525,6,218199210
"275",38931880,62661370,6.18,192851320
"276",39150241,62067331,6.03,214691254
"277",39286902,62460781,6.24,217240514
"278",41110271,62962392,6.49,207711832
"279",41672652,64391258,6.38,208795420
"280",41492405,64402009,6.2,173847939
"281",42004494,65932494,6.19,190508499
"282",42381772,67269712,6.54,261173732
"283",42411635,67093449,6.53,235850120
"284",43183159,66516789,6.02,197926807
"285",44052866,67070128,6.47,225902852
"286",44395263,68926110,6.1,225489561
"287",43429162,70205182,6.61,214621490
"288",44423562,71058729,6.36,243305253
"289",43979099,71887509,6.39,229829364
"290",44285274,73032336,6.15,237673478
"291",45400992,73962657,6.28,259575006
"292",44592393,73419922,6.34,244848919
"293",45174435,71456711,6.27,238260691
"294",45255134,70063219,6.25,228083901
"295",45948278,69474234,6.3,229015607
"296",45827405,68736854,6.37,236910761
"297",44478132,70618742,6.62,212082097
"298",42774532,71317669,6.02,237782639
"299",41421402,72408476,6.78,234082671
"300",41099999,74079442,6.6,213945477
"301",40125613,74196945,6.27,218710239
"302",39333579,74848455,6.42,225464266
"303",41131394,75465176,6.07,212055847
"304",43554340,74486182,6.96,233221345
"305",43112803,74923264,6.61,225621723
"306",43760279,74246579,6.35,239826653
"307",44238476,72892047,6.67,234181686
"308",44223728,72761848,6.55,233492540
"309",44868401,72340299,6.44,238337054
"310",44205895,71711666,6.61,231213602
"311",42820873,69624007,6.78,224925345
"312",42912480,67446495,6.54,200595141
"313",44088062,66850888,6.88,224905835
"314",43776760,68057155,6.92,221670562
"315",44288516,69688850,6.58,255158146
"316",44961768,70889256,6.47,227014373
"317",45669006,71545001,6.64,251689864
"318",46698683,72545721,6.68,233627046
"319",47496888,75188956,6.58,260464072
"320",45928992,77909990,6.58,229434362
"321",43630470,77274995,7.01,233153126
"322",42762525,76022165,6.42,253990653
"323",40817509,74909479,6.73,218409393
"324",40899756,75614297,7.06,243557148
"325",40601121,77730324,6.78,227119675
"326",40140506,77861739,7.09,206753110
"327",40063059,76919407,6.64,220237547
"328",41233243,77893859,7.11,241264643
"329",40746455,79598384,7.04,234929002
"330",40360203,81115231,6.52,256767699
"331",40128109,81488929,7.27,234919178
"332",39173834,81489478,6.83,270427059
"333",38531507,82986060,6.53,241204448
"334",39024426,82134733,6.92,236495928
"335",40558270,81685576,7.03,229120133
"336",42393734,82144742,6.91,242351819
"337",43781738,81056157,6.8,253989263
"338",43895985,81520688,6.9,242738106
"339",44726288,81960154,7.18,265322461
"340",44376910,82882608,7.2,267303093
"341",44122376,83123139,6.72,274974893
"342",42426240,82810780,7.03,238826240
"343",41495956,80745695,6.85,256119870
"344",44028828,78808206,6.91,235959137
"345",47337901,80562331,6.95,238452881
"346",48121436,79736300,6.78,256157173
"347",48162138,77498824,6.84,220384350
"348",49125565,75799370,7.04,252037917
"349",48166672,76832718,6.71,237799496
"350",46639897,77804217,7.28,233866023
"351",46686758,79174874,6.88,242919308
"352",46219825,82307842,6.92,238407552
"353",45420593,82091990,7.25,251596496
"354",44200025,81946668,6.83,208770589
"355",42852879,81841937,6.79,233713981
"356",43852928,82244210,7.05,235041597
"357",44528082,83177231,7.11,242402108
"358",44105556,82756481,7.33,249999519
"359",44791253,81430757,7.24,249684214
"360",46802735,82368550,7.22,257460786
"361",48681432,81994679,6.9,254257091
"362",48922968,81856318,7.2,315291613
"363",48241921,82495424,7.26,284725540
"364",49036794,82804886,7.21,278204912
"365",49172034,81648383,7.41,238756863
"366",48491346,79904277,6.88,230987628
"367",49446585,78737900,7.49,235086133
"368",48752370,78828498,7.08,248396667
"369",46060366,79757017,6.97,239329875
"370",46847852,80045942,7.1,264681791
"371",46850649,81184411,7.64,218152410
"372",45558182,81253078,7.29,272528311
"373",46090564,81135137,7.23,242360500
"374",46839590,82289144,7.19,280725140
"375",46330710,83548114,7.17,247692665
"376",46436330,83964454,7.28,264007736
"377",47867254,86002320,7.81,258633661
"378",48460976,87167787,7.48,272555568
"379",48504401,86074745,7.05,258012982
"380",49008909,86765360,7.6,278187756
"381",47910490,86805833,7.28,258336392
"382",45859525,86200336,7.14,265915536
"383",46367743,86388473,7.42,255378871
"384",46322615,86847124,7,277146630
"385",45821975,86755364,7.92,246869917
"386",45049312,85989508,7.44,281238566
"387",44069146,86147769,7.66,261414107
"388",44571054,87356486,7.2,228446422
"389",44832202,85554036,7.35,257388368
"390",45568600,84151699,7.46,249435494
"391",46354694,85101095,7.35,265186646
"392",46561275,85747974,7.61,268049253
"393",47763888,84803853,7.28,287652070
"394",47830957,85555315,7.33,245426683
"395",48402555,88382168,7.45,261586256
"396",49803799,91273556,7.66,327695453
"397",50544908,91258373,7.62,315037930
"398",49927842,90466502,7.57,290094249
"399",49450813,91573352,8.11,272719426
"400",51354021,92076986,7.72,308010219
"401",54254674,91115471,7.42,311832987
"402",52944595,90568797,7.53,299445033
"403",51095501,89786615,7.4,262899234
"404",50486546,89646538,7.22,287546726
"405",52043387,91015892,7.27,301523681
"406",53536001,91334990,8.14,277344013
"407",53793081,91022860,7.49,266521732
"408",54469289,91727081,7.95,283375936
"409",55902507,91568463,7.64,316709281
"410",55368250,92141226,7.64,295082957
"411",54514165,90622942,7.72,301627196
"412",54035329,91646481,7.4,279086073
"413",54680679,92682125,7.81,306063473
"414",54981943,93385904,7.85,282814893
"415",54339051,93621764,7.6,263638579
"416",52331273,94348613,7.64,318335296
"417",51010193,94682476,7.5,296705388
"418",49988700,93853633,7.67,299076809
"419",50586136,94403480,7.58,281231165
"420",51876882,95018685,7.78,286929583
"421",52123405,95245164,8.08,295081208
"422",53239056,96745979,7.73,274389464
"423",53425550,97061847,7.37,295215832
"424",54559612,99285861,7.99,293102511
"425",54252852,101471483,7.46,302601636
"426",53695869,102339643,8.22,316098032
"427",53249064,101545608,7.7,285512215
"428",51634500,102012161,7.84,329528511
"429",51858618,100392647,8.07,289217409
"430",51203225,97060976,7.96,312966515
"431",51459083,95583224,7.71,311903997
"432",52394949,95413319,7.83,253846385
"433",53303329,93799037,7.55,324340991
"434",51981176,92808433,7.76,255576482
"435",50672649,92170334,7.96,278272825
"436",52064624,93414432,8.26,297593047
"437",51750648,93494909,8,326181948
"438",51636719,94991039,8.23,306066488
"439",52489238,95725558,7.91,292995301
"440",52761139,95743964,8,303401915
"441",51254836,96128209,8.15,305985492
"442",49752401,96622984,8.14,267654789
"443",51679061,96951174,7.76,262811421
"444",52440056,98242989,8.03,269107439
"445",53314531,99037967,7.99,301633761
"446",55133727,100182117,8.27,346827148
"447",55625741,99098463,8.22,297532420
"448",56028834,97832737,7.84,304596831
"449",56482618,97513311,8.05,328343246
"450",56425946,99248909,7.91,347840903
"451",56146036,99740889,8.4,316608173
"452",55428855,99728398,7.96,291000248
"453",55522919,100301022,7.92,309860647
"454",56740180,99473039,7.96,304478773
"455",58894976,99207881,8.3,333543942
"456",60415401,100118610,7.84,333504620
"457",60386954,100896425,7.9,330676063
"458",60562618,102014301,8.52,308523083
"459",61955158,102007155,8.29,297024573
"460",61264201,101938934,8.1,325606583
"461",58558444,102443110,8.57,296325074
"462",57642086,103500466,8.41,292186896
"463",56426185,105481760,8.5,310385719
"464",57128492,104783756,7.88,293826589
"465",58572509,102815661,8.32,297148852
"466",57078968,101674373,8.34,372354476
"467",56504816,101832354,8.02,280161737
"468",55430000,103341627,8.25,285681996
"469",54664097,103677999,8.43,311859885
"470",54225204,104248749,8.29,308359619
"471",56180878,104819342,8.16,306872673
"472",57174266,106326676,8.05,335927375
"473",56769337,105244568,7.92,376389943
"474",54406384,102848928,8.54,277147653
"475",54335867,102817523,8.67,308930021
"476",53940087,101712412,8.45,292349344
"477",57131623,101148011,8.35,303139811
"478",59439968,102285104,8.23,327905841
"479",60183606,102926694,8.58,334533359
"480",60134611,104031639,8.44,351183439
"481",60897467,105529604,8.53,338089999
"482",60412093,105317216,8.44,276693556
"483",61107478,106743245,8.37,324926875
"484",60983591,107622414,8.44,341015766
"485",59492040,109761585,8.42,304593920
"486",61039906,109614382,8.25,307161157
"487",62599225,109736702,8.48,372932415
"488",62258626,110564138,7.9,365791492
"489",59914320,110519199,8.2,354228413
"490",57586241,110114902,8.32,363067379
"491",58118377,110463445,8.18,296540322
"492",58840418,110194259,8.63,410179291
"493",58410713,110293609,8.39,362039775
"494",59966987,110591382,8.58,332495415
"495",60093549,109699895,8.45,331989814
"496",60308410,109683357,8.87,327403778
"497",58877432,109815690,8.65,317938928
"498",58510323,108982016,9,318763900
"499",56535539,108726781,8.28,382429390
"500",57509999,107030504,8.76,321855512
